date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-05-02,6.89,6.92,6.88,6.81,905468.0,-0.03,-0.43,6.846,6.827,6.736,1341078.15,1362862.56,1492069.8
2018-05-03,6.86,7.04,7.01,6.82,1475170.5,0.14,2.04,6.858,6.865,6.762,1298341.17,1390010.03,1496911.49
2018-05-04,7.02,7.03,7.0,6.91,994954.0,0.0,0.0,6.908,6.88,6.79,1198728.95,1318987.94,1478375.58
2018-05-07,7.04,7.19,7.17,6.98,1680930.88,0.16,2.28,6.992,6.907,6.829,1321777.83,1318579.48,1500399.86
2018-05-08,7.17,7.23,7.08,7.04,1807406.38,-0.1,-1.39,7.028,6.932,6.862,1372785.95,1379917.31,1535947.18
2018-05-09,7.13,7.27,7.18,7.12,1559811.38,0.11,1.56,7.088,6.967,6.892,1503654.63,1422366.39,1515280.31
2018-05-10,7.27,7.32,7.27,7.2,1321753.25,0.08,1.11,7.14,6.999,6.917,1472971.18,1385656.18,1482376.15
2018-05-11,7.29,7.29,7.25,7.19,823223.19,-0.02,-0.28,7.19,7.049,6.936,1438625.02,1318676.98,1392687.6
2018-05-14,7.23,7.23,7.13,7.09,1638801.12,-0.12,-1.66,7.182,7.087,6.945,1430199.06,1375988.45,1385299.65
2018-05-15,7.17,7.17,7.16,7.08,1008507.44,0.02,0.28,7.198,7.113,6.961,1270419.28,1321602.61,1383873.98
2018-05-16,7.11,7.11,7.1,7.04,1226489.62,-0.06,-0.84,7.182,7.135,6.981,1203754.92,1353704.78,1358283.67
2018-05-17,7.12,7.17,7.11,7.08,1003390.19,0.01,0.14,7.15,7.145,7.005,1140082.31,1306526.75,1348268.39
2018-05-18,7.11,7.45,7.44,7.08,2484567.25,0.33,4.64,7.188,7.189,7.035,1472351.12,1455488.07,1387238.0
2018-05-21,7.36,7.45,7.27,7.21,2678956.0,-0.16,-2.15,7.216,7.199,7.053,1680382.1,1555290.58,1436935.03
2018-05-22,7.27,7.32,7.27,7.22,1105264.0,0.0,0.0,7.238,7.218,7.075,1699733.41,1485076.34,1432496.83
2018-05-23,7.24,7.25,7.02,6.99,1922198.0,-0.25,-3.44,7.222,7.202,7.085,1838875.09,1521315.01,1471840.7
2018-05-24,6.99,7.1,7.0,6.95,1054753.25,-0.01,-0.14,7.2,7.175,7.087,1849147.7,1494615.01,1440135.59
2018-05-25,6.96,6.99,6.96,6.84,1241735.75,-0.04,-0.57,7.104,7.146,7.098,1600581.4,1536466.26,1427571.62
2018-05-28,6.83,6.93,6.92,6.74,1389170.5,-0.04,-0.57,7.034,7.125,7.106,1342624.3,1511503.2,1443745.82
2018-05-29,6.94,6.99,6.96,6.91,784717.62,0.04,0.58,6.972,7.105,7.109,1278515.02,1489124.22,1405363.42
2018-05-30,6.84,6.94,6.83,6.81,970180.31,-0.12,-1.73,6.934,7.078,7.107,1088111.49,1463493.29,1408599.03
2018-05-31,6.89,7.07,7.06,6.88,1601550.88,0.23,3.37,6.946,7.073,7.109,1197471.01,1523309.36,1414918.05
2018-06-01,7.0,7.06,7.0,6.94,908761.94,-0.05,-0.71,6.954,7.029,7.109,1130876.25,1365728.83,1410608.45
2018-06-04,6.98,7.1,7.04,6.96,1217063.62,0.04,0.57,6.978,7.006,7.103,1096454.87,1219539.59,1387415.08
2018-06-05,6.65,6.66,6.57,6.51,1227129.0,-0.08,-1.2,6.9,6.936,7.077,1184937.15,1231726.09,1358401.22
2018-06-06,6.55,6.56,6.53,6.46,954246.0,-0.05,-0.76,6.84,6.887,7.045,1181750.29,1134930.89,1328122.95
2018-06-07,6.51,6.54,6.52,6.46,786426.94,0.0,0.0,6.732,6.839,7.007,1018725.5,1108098.26,1301356.63
2018-06-08,6.53,6.58,6.5,6.47,840572.31,-0.02,-0.31,6.632,6.793,6.97,1005087.57,1067981.91,1302224.09
2018-06-11,6.45,6.46,6.34,6.31,990020.38,-0.16,-2.46,6.492,6.735,6.93,959678.93,1028066.9,1269785.05
2018-06-12,6.33,6.44,6.42,6.33,959063.0,0.08,1.26,6.462,6.681,6.893,906065.73,1045501.44,1267312.83
2018-06-13,6.39,6.55,6.49,6.38,914543.44,0.06,0.93,6.454,6.647,6.863,898125.21,1039937.75,1251715.52
2018-06-14,6.47,6.55,6.46,6.41,917032.31,-0.03,-0.46,6.442,6.587,6.83,924246.29,971485.89,1247397.63
2018-06-15,6.45,6.52,6.5,6.43,729483.62,0.04,0.62,6.442,6.537,6.783,902028.55,953558.06,1159643.44
2018-06-19,6.43,6.55,6.43,6.31,3249002.75,-0.06,-0.92,6.46,6.476,6.741,1353825.02,1156751.98,1188145.78
2018-06-20,6.43,6.44,6.41,6.35,703434.12,-0.04,-0.62,6.458,6.46,6.698,1302699.25,1104382.49,1168054.29
2018-06-21,6.41,6.48,6.41,6.38,754968.31,0.01,0.16,6.442,6.448,6.668,1270784.22,1084454.72,1109692.8
2018-06-22,6.4,6.4,6.27,6.21,989137.12,-0.14,-2.18,6.404,6.423,6.631,1285205.18,1104725.74,1106412.0
2018-06-25,6.33,6.37,6.22,6.21,739417.56,-0.05,-0.8,6.348,6.395,6.594,1287191.97,1094610.26,1081296.09
2018-06-26,6.19,6.21,6.09,6.05,836108.38,-0.13,-2.09,6.28,6.37,6.553,804613.1,1079219.06,1053642.98
2018-06-27,6.15,6.35,6.29,6.15,1725848.25,0.19,3.12,6.256,6.357,6.519,1009095.92,1155897.59,1100699.51
2018-06-28,6.33,6.52,6.44,6.33,1269649.88,0.15,2.38,6.262,6.352,6.5,1112032.24,1191408.23,1115672.99
2018-06-29,6.48,6.52,6.49,6.36,804323.38,0.04,0.62,6.306,6.355,6.471,1075069.49,1180137.34,1075811.62
2018-07-02,6.45,6.5,6.3,6.25,913212.44,-0.19,-2.93,6.322,6.335,6.436,1109828.47,1198510.22,1076034.14
2018-07-03,6.32,6.33,6.27,6.16,1016830.81,-0.04,-0.63,6.358,6.319,6.398,1145972.95,975293.03,1066022.5
2018-07-04,6.21,6.27,6.25,6.2,675505.62,-0.02,-0.32,6.35,6.303,6.382,935904.43,972500.18,1038441.33
2018-07-05,6.21,6.32,6.3,6.04,1334977.0,0.07,1.12,6.322,6.292,6.37,948969.85,1030501.04,1057477.88
2018-07-06,6.2,6.3,6.26,6.16,645179.0,-0.05,-0.79,6.276,6.291,6.357,917140.97,996105.23,1050415.48
2018-07-09,6.28,6.42,6.41,6.27,604224.75,0.14,2.23,6.298,6.31,6.353,855343.44,982585.95,1038598.11
2018-07-10,6.44,6.54,6.52,6.37,764552.25,0.11,1.72,6.348,6.353,6.362,804887.72,975430.34,1027324.7
2018-07-11,6.4,6.42,6.38,6.32,503747.59,-0.13,-2.0,6.374,6.362,6.36,770536.12,853220.27,1004558.93
2018-07-12,6.29,6.38,6.35,6.25,1187730.88,-0.03,-0.47,6.384,6.353,6.353,741086.89,845028.37,1018218.3
2018-07-13,6.33,6.37,6.34,6.3,455286.44,-0.01,-0.16,6.4,6.338,6.347,703108.38,810124.68,995131.01
2018-07-16,6.34,6.37,6.33,6.25,435399.25,-0.01,-0.16,6.384,6.341,6.338,669343.28,762343.36,980426.79
2018-07-17,6.27,6.27,6.2,6.16,868077.56,-0.13,-2.05,6.32,6.334,6.327,690048.34,747468.03,861380.53
2018-07-18,6.22,6.26,6.21,6.17,502149.75,0.01,0.16,6.286,6.33,6.317,689728.78,730132.45,851316.31
2018-07-19,6.23,6.3,6.26,6.22,472326.09,0.05,0.81,6.268,6.326,6.309,546647.82,643867.36,837184.2
2018-07-20,6.26,6.41,6.38,6.26,790372.06,0.13,2.08,6.276,6.338,6.315,613664.94,658386.66,827245.95
2018-07-23,6.38,6.45,6.43,6.34,730354.88,0.04,0.63,6.296,6.34,6.325,672656.07,670999.68,826792.81
2018-07-24,6.42,6.6,6.52,6.4,1050046.38,0.09,1.4,6.36,6.34,6.347,709049.83,699549.09,837489.71
2018-07-25,6.64,6.67,6.55,6.52,1105976.75,0.03,0.46,6.428,6.357,6.36,829815.23,759772.0,806496.14
2018-07-26,6.57,6.63,6.56,6.5,643148.12,0.02,0.31,6.488,6.378,6.366,863979.64,705313.73,775171.05
2018-07-27,6.56,6.62,6.61,6.52,658639.81,0.05,0.76,6.534,6.405,6.372,837633.19,725649.07,767886.87
2018-07-30,6.59,6.65,6.61,6.55,619022.81,-0.01,-0.15,6.57,6.433,6.387,815366.77,744011.42,753177.39
2018-07-31,6.62,6.83,6.77,6.6,1102402.5,0.17,2.58,6.62,6.49,6.412,825838.0,767443.92,757455.97
2018-08-01,6.7,6.77,6.66,6.65,786985.12,-0.1,-1.48,6.642,6.535,6.433,762039.67,795927.45,763029.95
2018-08-02,6.64,6.64,6.52,6.44,960260.75,-0.13,-1.96,6.634,6.561,6.444,825462.2,844720.92,744294.14
2018-08-03,6.54,6.67,6.57,6.52,791604.19,0.05,0.77,6.626,6.58,6.459,852055.07,844844.13,751615.4
2018-08-06,6.55,6.7,6.51,6.47,895233.88,-0.07,-1.06,6.606,6.588,6.464,907297.29,861332.03,766165.85
2018-08-07,6.56,6.8,6.79,6.56,1554915.75,0.28,4.3,6.61,6.615,6.478,997799.94,911818.97,805684.03
2018-08-08,6.74,6.84,6.73,6.7,1158667.62,-0.06,-0.88,6.624,6.633,6.495,1072136.44,917088.06,838430.03
2018-08-09,6.62,6.74,6.7,6.56,1297805.5,-0.03,-0.45,6.66,6.647,6.513,1139645.39,982553.79,843933.76
2018-08-10,6.66,6.71,6.63,6.58,847788.75,-0.08,-1.19,6.672,6.649,6.527,1150882.3,1001468.69,863558.88
2018-08-13,6.61,6.64,6.59,6.52,836219.38,-0.04,-0.6,6.688,6.647,6.54,1139079.4,1023188.34,883599.88
2018-08-14,6.59,6.65,6.63,6.56,682003.38,0.03,0.46,6.656,6.633,6.562,964496.93,981148.43,874296.17
2018-08-15,6.59,6.59,6.48,6.47,895065.5,-0.15,-2.26,6.606,6.615,6.575,911776.5,991956.47,893941.96
2018-08-16,6.38,6.5,6.4,6.33,718429.5,-0.09,-1.39,6.546,6.603,6.582,795901.3,967773.35,906247.13
2018-08-17,6.45,6.46,6.34,6.31,580347.56,-0.05,-0.78,6.488,6.58,6.58,742413.06,946647.68,895745.91
2018-08-20,6.33,6.47,6.46,6.32,683332.81,0.13,2.05,6.462,6.575,6.582,711835.75,925457.58,893394.8
2018-08-21,6.48,6.53,6.48,6.45,648775.38,0.02,0.31,6.432,6.544,6.58,705190.15,834843.54,873331.25
2018-08-22,6.51,6.61,6.53,6.49,667760.94,0.05,0.77,6.442,6.524,6.579,659729.24,785752.87,851420.46
2018-08-23,6.56,6.63,6.57,6.51,759847.75,0.04,0.61,6.476,6.511,6.579,668012.89,731957.1,857255.44
2018-08-24,6.56,6.65,6.63,6.54,652449.31,0.06,0.91,6.534,6.511,6.58,682433.24,712423.15,856945.92
2018-08-27,6.69,6.83,6.82,6.68,1922633.12,0.19,2.87,6.606,6.534,6.591,930293.3,821064.53,922126.43
2018-08-28,6.8,6.98,6.85,6.79,1551391.88,0.03,0.44,6.68,6.556,6.595,1110816.6,908003.38,944575.9
2018-08-29,6.85,6.97,6.86,6.83,1256178.0,0.01,0.15,6.746,6.594,6.605,1228500.01,944114.63,968035.55
2018-08-30,6.92,6.96,6.8,6.8,738705.62,-0.06,-0.88,6.792,6.634,6.619,1224271.59,946142.24,956957.79
2018-08-31,6.82,6.92,6.84,6.71,1245274.88,0.04,0.59,6.834,6.684,6.632,1342836.7,1012634.97,979641.33
2018-09-03,6.8,6.89,6.81,6.75,714318.19,-0.03,-0.44,6.832,6.719,6.647,1101173.71,1015733.51,970595.54
2018-09-04,6.83,6.94,6.89,6.72,1080958.0,0.08,1.18,6.84,6.76,6.652,1007086.94,1058951.77,946897.65
2018-09-05,6.86,6.89,6.7,6.68,937788.56,-0.19,-2.76,6.808,6.777,6.651,943409.05,1085954.53,935853.7
