date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019-01-02,sh.601216,2.62,2.63,2.58,2.61,2.62,11359049,29578190.0,3,0.13461800000000002,1,-0.381679,0
2019-01-03,sh.601216,2.6,2.64,2.6,2.61,2.61,8730758,22858248.0,3,0.103469,1,0.0,0
2019-01-04,sh.601216,2.58,2.67,2.56,2.67,2.61,19097108,50411692.0,3,0.22632199999999997,1,2.298858,0
2019-01-07,sh.601216,2.7,2.7,2.66,2.69,2.67,19390680,52088752.0,3,0.22980100000000003,1,0.749063,0
2019-01-08,sh.601216,2.69,2.76,2.67,2.71,2.69,19296841,52259270.0,3,0.22868899999999998,1,0.743494,0
2019-01-09,sh.601216,2.71,2.75,2.7,2.71,2.71,21655396,59137575.0,3,0.256641,1,0.0,0
2019-01-10,sh.601216,2.71,2.72,2.69,2.69,2.71,13271729,35940245.0,3,0.15728499999999998,1,-0.738007,0
2019-01-11,sh.601216,2.7,2.73,2.69,2.73,2.69,12814037,34791478.0,3,0.151861,1,1.486987,0
2019-01-14,sh.601216,2.71,2.75,2.71,2.72,2.73,13920920,37952373.0,3,0.164979,1,-0.3663,0
2019-01-15,sh.601216,2.7,2.74,2.7,2.73,2.72,11589522,31587179.0,3,0.137349,1,0.367647,0
2019-01-16,sh.601216,2.74,2.76,2.71,2.72,2.73,14505775,39651603.0,3,0.17190999999999998,1,-0.3663,0
2019-01-17,sh.601216,2.71,2.75,2.69,2.72,2.72,18042975,49127048.0,3,0.21383000000000002,1,0.0,0
2019-01-18,sh.601216,2.72,2.79,2.71,2.76,2.72,32814167,90397464.0,3,0.388885,1,1.470587,0
2019-01-21,sh.601216,2.78,2.78,2.73,2.74,2.76,22310842,61410596.0,3,0.264409,1,-0.724637,0
2019-01-22,sh.601216,2.72,2.73,2.68,2.69,2.74,16476665,44611178.0,3,0.195267,1,-1.824816,0
2019-01-23,sh.601216,2.69,2.72,2.67,2.7,2.69,13674155,36848891.0,3,0.162054,1,0.371747,0
2019-01-24,sh.601216,2.7,2.74,2.69,2.72,2.7,18624873,50563116.0,3,0.22072600000000003,1,0.74074,0
2019-01-25,sh.601216,2.71,2.72,2.66,2.68,2.72,17458824,47007521.0,3,0.206907,1,-1.470587,0
2019-01-28,sh.601216,2.7,2.71,2.66,2.67,2.68,14162779,38025661.0,3,0.167845,1,-0.373134,0
2019-01-29,sh.601216,2.65,2.67,2.56,2.62,2.67,22207098,57924627.0,3,0.263179,1,-1.872666,0
2019-01-30,sh.601216,2.61,2.64,2.59,2.62,2.62,10273207,26934921.0,3,0.121749,1,0.0,0
2019-01-31,sh.601216,2.61,2.64,2.58,2.6,2.62,21081020,55019217.0,3,0.24983400000000003,1,-0.763358,0
2019-02-01,sh.601216,2.62,2.65,2.6,2.64,2.6,14886166,39111315.0,3,0.17641800000000002,1,1.538469,0
2019-02-11,sh.601216,2.64,2.7,2.64,2.7,2.64,21831866,58240581.0,3,0.258732,1,2.272725,0
2019-02-12,sh.601216,2.69,2.76,2.68,2.76,2.7,23424339,64102758.0,3,0.277605,1,2.22222,0
2019-02-13,sh.601216,2.75,2.88,2.74,2.82,2.76,39982550,112346291.0,3,0.47383800000000004,1,2.173911,0
2019-02-14,sh.601216,2.81,2.86,2.81,2.83,2.82,29693443,84102510.0,3,0.351901,1,0.35461,0
2019-02-15,sh.601216,2.84,2.86,2.8,2.8,2.83,32328560,91687269.0,3,0.38313,1,-1.06007,0
2019-02-18,sh.601216,2.82,2.89,2.82,2.88,2.8,36207713,103647607.0,3,0.42910200000000004,1,2.857149,0
2019-02-19,sh.601216,2.89,3.03,2.88,2.95,2.88,78841481,234125038.0,3,0.9343600000000001,1,2.4305529999999997,0
2019-02-20,sh.601216,2.93,2.98,2.9,2.93,2.95,34641020,101606919.0,3,0.41053500000000004,1,-0.6779649999999999,0
2019-02-21,sh.601216,2.91,3.08,2.89,2.96,2.93,74105778,222586832.0,3,0.878237,1,1.02389,0
2019-02-22,sh.601216,2.97,3.14,2.91,3.13,2.96,116780891,357283753.0,3,1.383985,1,5.743246,0
2019-02-25,sh.601216,3.37,3.44,3.21,3.44,3.13,284235168,953125305.0,3,3.368507,1,9.904150999999999,0
2019-02-26,sh.601216,3.45,3.65,3.38,3.39,3.44,268158732,936145762.0,3,3.1779830000000002,1,-1.453487,0
2019-02-27,sh.601216,3.34,3.73,3.29,3.73,3.39,205498116,708289457.0,3,2.435384,1,10.0295,0
2019-02-28,sh.601216,4.1,4.1,3.85,4.1,3.73,286883584,1166030912.0,3,3.399893,1,9.919568,0
2019-03-01,sh.601216,3.88,4.11,3.8,4.02,4.1,361549616,1425925939.0,3,4.28477,1,-1.9512180000000001,0
2019-03-04,sh.601216,3.93,4.37,3.85,4.09,4.02,399263504,1626205018.0,3,4.731722,1,1.741298,0
2019-03-05,sh.601216,3.95,4.08,3.89,4.07,4.09,217360138,870035539.0,3,2.575962,1,-0.488997,0
2019-03-06,sh.601216,4.08,4.25,4.0,4.17,4.07,289843504,1194950052.0,3,3.434972,1,2.457,0
2019-03-07,sh.601216,4.12,4.15,3.99,4.05,4.17,248740109,1012843403.0,3,2.94785,1,-2.877695,0
2019-03-08,sh.601216,3.88,3.96,3.65,3.67,4.05,212198991,809842807.0,3,2.514797,1,-9.382719,0
2019-03-11,sh.601216,3.67,4.04,3.67,4.04,3.67,149142823,578969876.0,3,1.76751,1,10.08174,0
2019-03-12,sh.601216,4.12,4.35,4.04,4.1,4.04,303628224,1266949028.0,3,3.598336,1,1.485147,0
2019-03-13,sh.601216,4.03,4.43,3.97,4.18,4.1,292109760,1232489540.0,3,3.4618290000000003,1,1.9512180000000001,0
2019-03-14,sh.601216,4.12,4.3,3.9,3.99,4.18,186379408,757518784.0,3,2.208806,1,-4.545451,0
2019-03-15,sh.601216,4.1,4.31,3.98,4.19,3.99,270102832,1127926035.0,3,3.201022,1,5.012533,0
2019-03-18,sh.601216,4.13,4.16,3.98,4.12,4.19,181243010,736707714.0,3,2.1479340000000002,1,-1.670649,0
2019-03-19,sh.601216,4.08,4.17,4.04,4.15,4.12,125842186,517212796.0,3,1.491371,1,0.72816,0
2019-03-20,sh.601216,4.12,4.3,4.07,4.22,4.15,166591322,697733871.0,3,1.9742950000000001,1,1.6867400000000001,0
2019-03-21,sh.601216,4.28,4.49,4.16,4.36,4.22,300416384,1303785920.0,3,3.5602720000000003,1,3.3175440000000003,0
2019-03-22,sh.601216,4.28,4.35,4.19,4.27,4.36,167436498,713362703.0,3,1.9843110000000002,1,-2.0642240000000003,0
2019-03-25,sh.601216,4.16,4.2,4.06,4.09,4.27,136714185,563768854.0,3,1.620217,1,-4.215453,0
2019-03-26,sh.601216,4.1,4.13,3.88,3.89,4.09,120038402,479457522.0,3,1.42259,1,-4.889977,0
2019-03-27,sh.601216,3.93,3.95,3.83,3.9,3.89,58820271,229211294.0,3,0.697086,1,0.257069,0
2019-03-28,sh.601216,3.9,3.94,3.81,3.82,3.9,59766393,231599523.0,3,0.708299,1,-2.051286,0
2019-03-29,sh.601216,3.84,4.02,3.77,3.98,3.82,98144771,383482051.0,3,1.163126,1,4.188484,0
2019-04-01,sh.601216,4.01,4.1,3.98,4.1,3.98,107610466,437771202.0,3,1.275305,1,3.015072,0
2019-04-02,sh.601216,4.12,4.24,4.08,4.11,4.1,142347407,590651376.0,3,1.686977,1,0.24390799999999999,0
2019-04-03,sh.601216,4.09,4.17,4.05,4.14,4.11,93510889,383221890.0,3,1.108209,1,0.72992,0
2019-04-04,sh.601216,4.44,4.52,4.2,4.21,4.14,179553067,773570517.0,3,2.1279060000000003,1,1.690825,0
2019-04-08,sh.601216,4.32,4.5,4.25,4.37,4.21,221726963,967721418.0,3,2.627714,1,3.800472,0
2019-04-09,sh.601216,4.3,4.3,4.17,4.21,4.37,118263632,499579500.0,3,1.401557,1,-3.6613239999999996,0
2019-04-10,sh.601216,4.27,4.3,4.18,4.22,4.21,82969790,351476238.0,3,0.9832850000000001,1,0.23752399999999999,0
2019-04-11,sh.601216,4.16,4.2,4.08,4.1,4.22,87053537,359651387.0,3,1.031682,1,-2.843599,0
2019-04-12,sh.601216,4.11,4.16,4.09,4.13,4.1,45249564,186481744.0,3,0.536258,1,0.731712,0
2019-04-15,sh.601216,4.19,4.21,4.04,4.06,4.13,57101555,237309697.0,3,0.676718,1,-1.6949189999999998,0
2019-04-16,sh.601216,4.02,4.14,3.96,4.14,4.06,67182032,271978049.0,3,0.796183,1,1.9704409999999999,0
2019-04-17,sh.601216,4.12,4.15,4.09,4.13,4.14,50432144,207809708.0,3,0.5976779999999999,1,-0.24154,0
2019-04-18,sh.601216,4.12,4.12,4.07,4.08,4.13,41171888,168279686.0,3,0.487933,1,-1.210658,0
2019-04-19,sh.601216,4.08,4.09,4.0,4.06,4.08,50021030,201907297.0,3,0.592805,1,-0.490196,0
2019-04-22,sh.601216,4.08,4.08,3.93,3.95,4.06,63032743,251948032.0,3,0.747009,1,-2.709357,0
2019-04-23,sh.601216,3.94,4.08,3.92,4.0,3.95,62573694,250801752.0,3,0.7415689999999999,1,1.265822,0
2019-04-24,sh.601216,4.01,4.05,3.96,4.02,4.0,28874691,115435797.0,3,0.342198,1,0.49999899999999997,0
2019-04-25,sh.601216,4.05,4.05,3.86,3.87,4.02,51959156,205570210.0,3,0.6157739999999999,1,-3.731346,0
2019-04-26,sh.601216,3.87,3.91,3.81,3.82,3.87,38064409,146509466.0,3,0.45110600000000006,1,-1.291988,0
2019-04-29,sh.601216,3.79,3.8,3.45,3.57,3.82,75350832,272448971.0,3,0.892992,1,-6.544503,0
2019-04-30,sh.601216,3.58,3.69,3.58,3.63,3.57,32685932,118444767.0,3,0.387365,1,1.680677,0
2019-05-06,sh.601216,3.46,3.53,3.28,3.31,3.63,61969151,210484636.0,3,0.734404,1,-8.815432000000001,0
2019-05-07,sh.601216,3.35,3.43,3.34,3.39,3.31,42097764,142492414.0,3,0.498906,1,2.4169240000000003,0
2019-05-08,sh.601216,3.35,3.45,3.31,3.4,3.39,33904115,115260303.0,3,0.401802,1,0.294985,0
2019-05-09,sh.601216,3.37,3.43,3.34,3.36,3.4,28010405,94863901.0,3,0.331955,1,-1.176476,0
2019-05-10,sh.601216,3.41,3.48,3.32,3.46,3.36,40271805,138153601.0,3,0.47726599999999997,1,2.976195,0
2019-05-13,sh.601216,3.42,3.44,3.34,3.37,3.46,33914267,115085210.0,3,0.401922,1,-2.6011610000000003,0
2019-05-14,sh.601216,3.32,3.42,3.32,3.39,3.37,30134783,102003349.0,3,0.357131,1,0.593478,0
