date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019-01-02,sz.000876,7.28,7.44,7.23,7.4,7.28,13656162,100445000.84,3,0.32706,1,1.64835,0
2019-01-03,sz.000876,7.44,7.45,7.32,7.42,7.4,9763551,71973932.11,3,0.23383400000000001,1,0.27026999999999995,0
2019-01-04,sz.000876,7.33,7.54,7.28,7.52,7.42,24418094,181961664.06,3,0.584805,1,1.347708,0
2019-01-07,sz.000876,7.56,7.86,7.51,7.82,7.52,39514572,305693311.51,3,0.946361,1,3.989364,0
2019-01-08,sz.000876,7.75,7.81,7.57,7.6,7.82,22213797,169930957.95,3,0.532013,1,-2.813303,0
2019-01-09,sz.000876,7.63,7.84,7.57,7.73,7.6,24922137,193502752.22,3,0.596877,1,1.7105279999999998,0
2019-01-10,sz.000876,7.71,7.77,7.58,7.6,7.73,15514567,118901386.01,3,0.371569,1,-1.681761,0
2019-01-11,sz.000876,7.6,7.72,7.6,7.64,7.6,11323341,86651057.65,3,0.27119,1,0.526315,0
2019-01-14,sz.000876,7.65,7.88,7.65,7.77,7.64,20843564,162628820.91,3,0.49919600000000003,1,1.701572,0
2019-01-15,sz.000876,7.77,7.82,7.72,7.77,7.77,13757734,106707315.8,3,0.329493,1,0.0,0
2019-01-16,sz.000876,7.77,7.79,7.62,7.64,7.77,14419769,110996607.66,3,0.34534899999999996,1,-1.6731029999999998,0
2019-01-17,sz.000876,7.65,7.72,7.54,7.59,7.64,14788738,112796938.22,3,0.35418499999999997,1,-0.654447,0
2019-01-18,sz.000876,7.65,7.76,7.57,7.75,7.59,13288473,101860973.79,3,0.318254,1,2.1080349999999997,0
2019-01-21,sz.000876,7.75,7.86,7.69,7.71,7.75,14546905,112971651.68,3,0.348393,1,-0.5161279999999999,0
2019-01-22,sz.000876,7.66,7.83,7.66,7.76,7.71,11515171,89443623.15,3,0.27578400000000003,1,0.648511,0
2019-01-23,sz.000876,7.73,7.84,7.72,7.82,7.76,12009758,93527155.41,3,0.28763,1,0.773195,0
2019-01-24,sz.000876,7.82,8.01,7.77,7.95,7.82,20897680,165605366.8,3,0.500492,1,1.6623990000000002,0
2019-01-25,sz.000876,7.92,8.06,7.92,7.93,7.95,16247333,129660068.35,3,0.38911799999999996,1,-0.25157199999999996,0
2019-01-28,sz.000876,7.98,8.06,7.92,7.97,7.93,10980766,87671929.81,3,0.262986,1,0.504413,0
2019-01-29,sz.000876,7.96,8.05,7.84,8.01,7.97,14279747,113865949.99,3,0.341995,1,0.501888,0
2019-01-30,sz.000876,8.0,8.04,7.95,7.95,8.01,10179339,81315425.83,3,0.243792,1,-0.749069,0
2019-01-31,sz.000876,7.95,8.04,7.91,7.95,7.95,10990446,87513108.23,3,0.26321700000000003,1,0.0,0
2019-02-01,sz.000876,7.95,8.02,7.91,7.97,7.95,13863759,110440567.95,3,0.332032,1,0.25157199999999996,0
2019-02-11,sz.000876,7.98,8.54,7.98,8.49,7.97,41480836,347805780.86,3,0.993452,1,6.524467,0
2019-02-12,sz.000876,8.48,8.55,8.44,8.5,8.49,22427528,190425724.84,3,0.5371319999999999,1,0.11778800000000002,0
2019-02-13,sz.000876,8.54,8.72,8.44,8.49,8.5,20742722,176779152.23,3,0.49678100000000003,1,-0.11765,0
2019-02-14,sz.000876,8.49,8.5,8.35,8.4,8.49,18230501,153497060.99,3,0.43661400000000006,1,-1.060073,0
2019-02-15,sz.000876,8.4,8.88,8.4,8.67,8.4,42305224,365336113.86,3,1.013196,1,3.214292,0
2019-02-18,sz.000876,8.6,8.92,8.6,8.82,8.67,35442472,310953592.93,3,0.848835,1,1.730099,0
2019-02-19,sz.000876,8.8,8.95,8.52,8.69,8.82,44682207,388673991.02,3,1.070124,1,-1.473924,0
2019-02-20,sz.000876,8.78,9.04,8.77,8.9,8.69,39678084,352500555.69,3,0.950277,1,2.416571,0
2019-02-21,sz.000876,9.2,9.79,9.17,9.79,8.9,102758929,987780840.96,3,2.461041,1,10.0,0
2019-02-22,sz.000876,9.9,10.33,9.72,10.03,9.79,110850421,1107423178.36,3,2.65483,1,2.451479,0
2019-02-25,sz.000876,9.96,10.72,9.67,10.49,10.03,100608128,1039302375.54,3,2.4095299999999997,1,4.5862419999999995,0
2019-02-26,sz.000876,10.33,11.54,10.33,11.18,10.49,108204704,1201826368.2,3,2.591466,1,6.577698,0
2019-02-27,sz.000876,11.26,11.47,10.56,10.82,11.18,76933243,839369299.73,3,1.842525,1,-3.220041,0
2019-02-28,sz.000876,10.72,11.09,10.39,10.6,10.82,53388157,570327977.45,3,1.278628,1,-2.033266,0
2019-03-01,sz.000876,10.78,11.51,10.48,11.37,10.6,86464135,956219403.53,3,2.0707869999999997,1,7.264146,0
2019-03-04,sz.000876,12.05,12.51,11.76,12.51,11.37,122612423,1513178069.83,3,2.9365259999999997,1,10.02639,0
2019-03-05,sz.000876,12.68,13.56,12.3,12.87,12.51,156219468,2026344378.32,3,3.741403,1,2.877695,0
2019-03-06,sz.000876,12.66,13.17,12.24,12.97,12.87,112242343,1425553926.69,3,2.688166,1,0.777004,0
2019-03-07,sz.000876,12.9,13.11,12.41,12.72,12.97,92067307,1174935340.6,3,2.204981,1,-1.927525,0
2019-03-08,sz.000876,12.3,13.99,12.1,13.46,12.72,150430517,2009403451.45,3,3.60276,1,5.817608,0
2019-03-11,sz.000876,13.96,14.2,12.59,13.46,13.46,117744673,1587721212.73,3,2.819945,1,0.0,0
2019-03-12,sz.000876,13.1,14.73,12.8,14.22,13.46,119195647,1658307851.63,3,2.854695,1,5.646361,0
2019-03-13,sz.000876,14.07,14.37,12.8,12.8,14.22,133113448,1786833024.78,3,3.188022,1,-9.985935000000001,0
2019-03-14,sz.000876,12.3,12.6,11.6,12.05,12.8,118950257,1441228705.55,3,2.848818,1,-5.859375,0
2019-03-15,sz.000876,12.33,12.87,12.3,12.61,12.05,84483976,1059842605.22,3,2.023362,1,4.647298,0
2019-03-18,sz.000876,12.98,13.42,12.77,13.06,12.61,86524197,1128642036.09,3,2.072225,1,3.568602,0
2019-03-19,sz.000876,13.0,13.23,12.65,12.93,13.06,52808074,682612032.19,3,1.264735,1,-0.9954069999999999,0
2019-03-20,sz.000876,12.83,12.89,11.91,12.37,12.93,78952395,974464898.34,3,1.890883,1,-4.331016,0
2019-03-21,sz.000876,12.38,12.84,12.28,12.65,12.37,61512132,773032783.54,3,1.473195,1,2.2635389999999997,0
2019-03-22,sz.000876,12.62,12.8,12.01,12.42,12.65,54123160,666133590.78,3,1.296231,1,-1.8181779999999998,0
2019-03-25,sz.000876,12.1,13.07,12.02,12.38,12.42,73050948,922370425.27,3,1.7488700000000001,1,-0.322061,0
2019-03-26,sz.000876,12.55,13.33,12.45,12.99,12.38,97032129,1255623473.46,3,2.3229900000000003,1,4.927299,0
2019-03-27,sz.000876,12.9,13.27,12.57,12.77,12.99,64561359,828238160.02,3,1.536023,1,-1.693605,0
2019-03-28,sz.000876,12.75,13.09,12.38,12.72,12.77,55768814,709277258.76,3,1.326834,1,-0.391544,0
2019-03-29,sz.000876,12.58,13.55,12.53,13.3,12.72,81470269,1075537158.98,3,1.9383150000000002,1,4.559748,0
2019-04-01,sz.000876,13.39,14.63,13.32,14.48,13.3,101164315,1426368301.14,3,2.406869,1,8.872175,0
2019-04-02,sz.000876,14.7,15.49,14.06,14.84,14.48,105466115,1558685541.45,3,2.509216,1,2.486192,0
2019-04-03,sz.000876,14.69,15.25,14.56,15.14,14.84,55979630,838620089.23,3,1.331849,1,2.021564,0
2019-04-04,sz.000876,15.89,15.92,14.64,15.25,15.14,102098406,1551021716.35,3,2.429093,1,0.72655,0
2019-04-08,sz.000876,15.4,15.4,14.61,14.75,15.25,75636701,1131835521.21,3,1.7995240000000001,1,-3.278688,0
2019-04-09,sz.000876,14.5,14.93,14.3,14.56,14.75,52170059,761111155.5,3,1.241213,1,-1.288133,0
2019-04-10,sz.000876,14.49,14.84,14.26,14.62,14.56,43919025,639661204.47,3,1.044907,1,0.412084,0
2019-04-11,sz.000876,14.53,14.75,13.96,14.03,14.62,58711004,842176495.03,3,1.396833,1,-4.035569000000001,0
2019-04-12,sz.000876,14.11,15.02,14.06,14.54,14.03,63017562,918117746.76,3,1.4992940000000001,1,3.635069,0
2019-04-15,sz.000876,14.7,14.99,14.1,14.14,14.54,51078301,742434915.44,3,1.215239,1,-2.751029,0
2019-04-16,sz.000876,14.0,14.36,13.35,14.12,14.14,63235009,876391823.98,3,1.504467,1,-0.14144600000000002,0
2019-04-17,sz.000876,14.05,14.65,13.9,14.27,14.12,71778270,1029388736.58,3,1.7077259999999999,1,1.062327,0
2019-04-18,sz.000876,14.25,14.55,13.91,14.13,14.27,43060666,613067074.92,3,1.024486,1,-0.981082,0
2019-04-19,sz.000876,14.06,14.26,13.77,14.0,14.13,33187994,464930562.9,3,0.7895979999999999,1,-0.9200290000000001,0
2019-04-22,sz.000876,14.17,15.13,14.06,14.85,14.0,80748504,1181226624.33,3,1.921143,1,6.071431,0
2019-04-23,sz.000876,14.64,15.15,14.3,14.5,14.85,87070267,1283084413.66,3,2.071548,1,-2.356905,0
2019-04-24,sz.000876,14.61,14.96,14.31,14.96,14.5,68125575,999138446.62,3,1.620822,1,3.172414,0
2019-04-25,sz.000876,14.81,16.46,14.73,15.75,14.96,134550090,2133681829.86,3,3.201173,1,5.280748,0
2019-04-26,sz.000876,15.99,16.58,15.47,16.3,15.75,126702476,2039585501.55,3,3.014465,1,3.492059,0
2019-04-29,sz.000876,15.91,16.65,15.52,15.74,16.3,94492916,1524035616.77,3,2.248145,1,-3.4355800000000003,0
2019-04-30,sz.000876,15.63,17.31,15.6,17.31,15.74,77134083,1284607871.39,3,1.8351490000000001,1,9.974586,0
2019-05-06,sz.000876,16.8,18.25,16.3,17.07,17.31,160122322,2771834057.0,3,3.8095790000000003,1,-1.38648,0
2019-05-07,sz.000876,17.4,17.55,15.41,16.15,17.07,112160475,1863823134.88,3,2.668486,1,-5.389573,0
2019-05-08,sz.000876,15.46,15.7,14.54,14.56,16.15,103132425,1557303413.57,3,2.453694,1,-9.845197,0
2019-05-09,sz.000876,14.56,16.02,14.56,16.02,14.56,105398538,1606830116.57,3,2.5076080000000003,1,10.02747,0
2019-05-10,sz.000876,16.43,17.62,16.22,17.62,16.02,148760624,2576476755.33,3,3.5392650000000003,1,9.987517,0
2019-05-13,sz.000876,17.3,17.79,16.82,17.61,17.62,96050644,1664382053.5,3,2.285206,1,-0.05675499999999999,0
2019-05-14,sz.000876,17.32,18.87,16.97,18.16,17.61,116907532,2105849782.95,3,2.781427,1,3.123221,0
2019-05-15,sz.000876,18.15,18.75,17.92,18.37,18.16,90351843,1656213231.98,3,2.149622,1,1.156393,0
2019-05-16,sz.000876,18.34,18.92,17.4,17.61,18.37,108608968,1961976822.49,3,2.58399,1,-4.137181,0
2019-05-17,sz.000876,17.55,18.36,17.07,17.66,17.61,84935492,1514341253.95,3,2.0207580000000003,1,0.283925,0
2019-05-20,sz.000876,17.25,17.34,15.89,16.59,17.66,89928010,1480755616.82,3,2.139539,1,-6.058888,0
2019-05-21,sz.000876,16.78,18.18,16.78,18.14,16.59,91115042,1597693377.23,3,2.16778,1,9.342972999999999,0
2019-05-22,sz.000876,17.97,18.52,17.23,17.66,18.14,86629258,1543597285.76,3,2.061056,1,-2.646084,0
2019-05-23,sz.000876,17.25,17.94,16.81,17.36,17.66,59096157,1018809719.12,3,1.405997,1,-1.69875,0
2019-05-24,sz.000876,17.26,17.85,15.71,16.69,17.36,83879368,1412656149.93,3,1.9956310000000002,1,-3.8594470000000003,0
2019-05-27,sz.000876,17.0,17.86,16.56,17.61,16.69,86536870,1488944275.45,3,2.0588580000000003,1,5.512283,0
2019-05-28,sz.000876,17.67,18.96,17.6,18.44,17.61,131281073,2395294013.14,3,3.123397,1,4.7132309999999995,0
2019-05-29,sz.000876,18.15,18.58,17.93,18.58,18.44,75858279,1389758011.48,3,1.8047959999999998,1,0.759216,0
2019-05-30,sz.000876,19.02,19.8,18.26,19.62,18.58,111452698,2116853417.88,3,2.651647,1,5.597422,0
2019-05-31,sz.000876,19.8,21.04,19.0,20.6,19.62,134134220,2711870572.43,3,3.191279,1,4.9949010000000005,0
2019-06-03,sz.000876,21.2,21.45,19.7,20.1,20.6,118539265,2439394649.17,3,2.820248,1,-2.427184,0
2019-06-04,sz.000876,19.79,20.96,19.01,20.8,20.1,111751445,2236493997.7,3,2.6587549999999998,1,3.4825809999999997,0
2019-06-05,sz.000876,20.5,20.85,19.61,20.1,20.8,83817479,1695927003.26,3,1.994159,1,-3.365379,0
2019-06-06,sz.000876,19.8,20.11,18.5,18.67,20.1,98140308,1871050610.95,3,2.334923,1,-7.1144289999999994,0
2019-06-10,sz.000876,18.59,18.98,17.9,18.65,18.67,87001341,1606212744.08,3,2.0699080000000003,1,-0.107126,0
2019-06-11,sz.000876,18.58,20.28,18.2,20.26,18.65,137299877,2638659945.14,3,3.266595,1,8.632711,0
2019-06-12,sz.000876,19.87,20.09,19.08,19.12,20.26,99297770,1953009932.07,3,2.362461,1,-5.626848000000001,0
2019-06-13,sz.000876,19.4,19.73,19.12,19.38,19.12,65941760,1284058100.7,3,1.568865,1,1.359824,0
2019-06-14,sz.000876,19.1,19.48,18.7,18.85,19.38,63891794,1215102527.92,3,1.5200930000000001,1,-2.734772,0
2019-06-17,sz.000876,19.01,19.44,18.26,18.7,18.85,71641691,1345442252.63,3,1.7044759999999999,1,-0.795754,0
2019-06-18,sz.000876,18.8,19.6,18.5,19.6,18.7,104979608,2014356346.35,3,2.497641,1,4.812832,0
2019-06-19,sz.000876,20.3,20.4,18.95,19.01,19.6,113528511,2212905717.85,3,2.701034,1,-3.010205,0
2019-06-20,sz.000876,19.03,19.03,17.77,18.38,19.01,130259034,2381696286.76,3,3.099081,1,-3.314051,0
2019-06-21,sz.000876,18.2,18.21,17.17,17.7,18.35,125259365,2202927059.23,3,2.980131,1,-3.542232,0
2019-06-24,sz.000876,17.4,18.35,17.2,18.01,17.7,97392551,1736417541.33,3,2.317133,1,1.751409,0
2019-06-25,sz.000876,17.74,17.85,17.22,17.26,18.01,70984688,1238358476.96,3,1.6888450000000002,1,-4.164353,0
2019-06-26,sz.000876,17.09,17.58,17.0,17.15,17.26,47731687,824553550.75,3,1.135617,1,-0.637315,0
2019-06-27,sz.000876,17.0,17.55,16.81,17.3,17.15,82151141,1407553329.53,3,1.9545139999999999,1,0.874633,0
2019-06-28,sz.000876,17.09,17.65,17.01,17.37,17.3,60924601,1063022578.66,3,1.4494989999999999,1,0.404633,0
2019-07-01,sz.000876,17.59,18.38,17.24,18.25,17.37,103748986,1864080458.93,3,2.468363,1,5.066201,0
2019-07-02,sz.000876,18.2,19.19,18.1,18.79,18.25,106324761,2004144120.38,3,2.529645,1,2.9589090000000002,0
2019-07-03,sz.000876,18.7,19.04,18.13,18.68,18.79,86068189,1598957775.01,3,2.047707,1,-0.585421,0
2019-07-04,sz.000876,18.7,18.83,18.0,18.01,18.68,56401626,1032856044.0,3,1.3418889999999999,1,-3.586724,0
2019-07-05,sz.000876,18.1,18.88,18.01,18.63,18.01,80853498,1490278668.7,3,1.923641,1,3.4425260000000004,0
2019-07-08,sz.000876,18.79,19.43,18.69,18.97,18.63,105323197,2002718015.64,3,2.505816,1,1.825014,0
2019-07-09,sz.000876,18.95,19.33,18.2,18.9,18.97,93222974,1755673168.55,3,2.217931,1,-0.369002,0
2019-07-10,sz.000876,18.92,19.68,18.66,19.29,18.9,92190301,1786985277.61,3,2.193362,1,2.063499,0
2019-07-11,sz.000876,19.39,19.73,19.13,19.51,19.29,78613206,1530307719.56,3,1.8703400000000001,1,1.140484,0
2019-07-12,sz.000876,19.4,19.67,19.01,19.43,19.51,58668136,1137793269.98,3,1.3958139999999999,1,-0.410046,0
2019-07-15,sz.000876,19.48,20.38,19.11,20.25,19.43,90840523,1799027022.33,3,2.161249,1,4.220276,0
2019-07-16,sz.000876,20.01,20.27,19.75,19.97,20.25,58580682,1171822086.15,3,1.3937329999999999,1,-1.382719,0
2019-07-17,sz.000876,19.91,20.7,19.66,19.9,19.97,96526801,1944712158.88,3,2.296535,1,-0.350524,0
2019-07-18,sz.000876,19.61,19.96,19.1,19.1,19.9,74562481,1452805322.89,3,1.7739669999999998,1,-4.020097,0
2019-07-19,sz.000876,19.19,19.52,18.95,19.19,19.1,45662446,877231411.34,3,1.086386,1,0.47120500000000004,0
2019-07-22,sz.000876,18.81,19.1,18.27,18.47,19.19,62522004,1164124098.72,3,1.4875040000000002,1,-3.75196,0
2019-07-23,sz.000876,18.62,18.78,18.28,18.67,18.47,31789907,590113042.87,3,0.7563350000000001,1,1.082841,0
2019-07-24,sz.000876,18.79,18.87,18.35,18.51,18.67,52758544,980266755.6,3,1.255214,1,-0.8569889999999999,0
2019-07-25,sz.000876,18.57,18.69,18.1,18.66,18.51,49633879,911469104.84,3,1.180873,1,0.810371,0
2019-07-26,sz.000876,18.66,18.86,18.52,18.71,18.66,41534043,776881386.94,3,0.9882,1,0.2679,0
2019-07-29,sz.000876,18.68,19.42,18.24,19.41,18.71,67781375,1287398005.98,3,1.612633,1,3.7413190000000003,0
2019-07-30,sz.000876,19.4,19.68,19.16,19.47,19.41,49162692,956353637.2,3,1.1697,1,0.3091,0
2019-07-31,sz.000876,19.57,19.93,19.27,19.35,19.47,47279125,927943346.03,3,1.1258,1,-0.6163,0
2019-08-01,sz.000876,19.16,19.92,19.15,19.74,19.35,56606636,1113901046.03,3,1.3479,1,2.0155,0
2019-08-02,sz.000876,19.42,19.79,19.25,19.7,19.74,46829331,914854220.74,3,1.1151,1,-0.2026,0
2019-08-05,sz.000876,19.85,20.35,19.6,19.88,19.7,63263412,1263922918.74,3,1.5064,1,0.9137,0
2019-08-06,sz.000876,18.99,19.72,18.91,19.5,19.88,51449040,997217493.24,3,1.2251,1,-1.9115,0
2019-08-07,sz.000876,20.09,20.25,19.39,19.46,19.5,56246797,1113567446.43,3,1.3394,1,-0.2051,0
2019-08-08,sz.000876,19.6,19.74,19.15,19.27,19.46,37238193,720935740.04,3,0.8867,1,-0.9764,0
2019-08-09,sz.000876,19.36,19.49,18.0,18.32,19.27,63549349,1191395849.94,3,1.5132,1,-4.9299,0
